Part Name,Ref Des,Var Status,Qty,PART_NUMBER,DESCRIPTION,MFG_PN,MANUFACTURER,PRT_NUMBER,
"10137559-102LF_CONN-10137559-102LF,2G34J,CONN6_PWR_2X1_RA,AMPHENOL",U11_DC0,Pref,1,2G34J,Power connector Pin in Paste,10137559-102LF,AMPHENOL,2G34J,
"74LCX138_DFN-74LCX138BQX,YX5P1,QFN50P350X250X80-17_DS,ONSEMI",U3_DC0,Pref,1,YX5P1,IC DECODER/DEMUX 1X3:8 16DQFN,74LCX138BQX,ONSEMI,YX5P1,
"74LVC1G04_SOT-74LVC1G04SE-7,MD81W,SOT65P210X110-5_DS,DIODES",U7_DC0,Pref,1,MD81W,Single Inverter,74LVC1G04SE-7,DIODES,MD81W,
"BAV70WT1G_SOT-BAV70WT1G,8NYFF,SOT65P220X100-3_DS,ONSEMI",D1_DC0,Pref,1,8NYFF,DIODE DUAL SW 100V 200MA SOT323,BAV70WT1G,ONSEMI,8NYFF,
"BMR685_TH-BMR685,90F4M,TH_DCDC_CONV_16PINS_5790X6100X1290,FLEX",PS1_DC0,Pref,1,90F4M,DCDC CONVERTER,BMR685,FLEX,90F4M,
"BZX84_SOT-BZX84-A39,215,V0F3T,SOT95P230X110-3_DS,NEXPERIA",D5_DC0,Pref,1,V0F3T,"Diode, Zener, 39V, 250mW, 1%","BZX84-A39,215",NEXPERIA,V0F3T,
"CAP_0603-1UF,10%,25V,X7R,YPFHV",C70_DC0,Pref,1,YPFHV,?,?,?,YPFHV,
"CAP_1210-4.7UF,10%,100V,X7R,N4W6P","C1_DC0, C2_DC0, C3_DC0, C4_DC0, C5_DC0, C6_DC0, C7_DC0, C8_DC0, C9_DC0, C10_DC0, C15_DC0, C16_DC0, C21_DC0, C22_DC0, C27_DC0, C28_DC0, C29_DC0, C30_DC0, C35_DC0, C36_DC0, C37_DC0, C38_DC0, C39_DC0, C40_DC0, C41_DC0, C42_DC0",Pref,26,N4W6P,?,?,?,N4W6P,
"CAP_PHOENIX_0201-0.22UF,10%,6.3V,X6S,61WM2,C0603X6S0J224K030BC",C51_DC0,Pref,1,61WM2,?,C0603X6S0J224K030BC,?,61WM2,
"CAP_PHOENIX_0201-1UF,20%,10V,X6S,GH1G1,GRM033C81A105ME05D",C56_DC0,Pref,1,GH1G1,?,GRM033C81A105ME05D,?,GH1G1,
"CAP_PHOENIX_0402-1000PF,10%,100V,X7R,M4K70,GRM155R72A102KA01",C59_DC0,Pref,1,M4K70,?,GRM155R72A102KA01,?,M4K70,
"CAP_PHOENIX_0402-10UF,20%,6.3V,X6S,VDP6K,GRM155C80J106ME11D",C55_DC0,Pref,1,VDP6K,?,GRM155C80J106ME11D,?,VDP6K,
"CAP_PHOENIX_0603-1000PF,10%,50V,X7R,79015,C0603C102K5RAC7411",C13_DC0,Pref,1,79015,?,C0603C102K5RAC7411,?,79015,
"CAP_PHOENIX_0805-1000PF,10%,630V,X7R,XYCJG,CC0805KRX7RZBB102","C62_DC0, C63_DC0, C65_DC0, C66_DC0",Pref,4,XYCJG,?,CC0805KRX7RZBB102,?,XYCJG,
"CAP_PHOENIX_0805-2.2UF,10%,35V,X7S,K23WT,GCM21BC7YA225KE01","C57_DC0, C61_DC0, C64_DC0",Pref,3,K23WT,?,GCM21BC7YA225KE01,?,K23WT,
"CAP_PHOENIX_1812-0.22UF,10%,630V,X7R,DHWWF,1812CC224KAT2A","C17_DC0, C18_DC0, C19_DC0, C20_DC0, C23_DC0, C24_DC0, C25_DC0, C26_DC0, C31_DC0, C32_DC0, C33_DC0, C34_DC0, C47_DC0, C48_DC0",Pref,14,DHWWF,?,1812CC224KAT2A,?,DHWWF,
"CAP_POLAR_PHOENIX_SMT-470UF,20%,100V,ALUM_E,9NF1W,MAL215099913E3","CP1_DC0, CP2_DC0, CP3_DC0, CP4_DC0",Pref,4,9NF1W,?,MAL215099913E3,?,9NF1W,
"CAP_POLAR_PHOENIX_SMT-680UF,20%,80V,ALUM_E,0WKK0,1KTLV680M18X21.5","CP5_DC0, CP6_DC0, CP7_DC0, CP8_DC0, CP9_DC0, CP10_DC0, CP11_DC0",Pref,7,0WKK0,?,1KTLV680M18X21.5,?,0WKK0,
"CHOKE_C201419A_120YHF_TH-C201419A-120YHF,P83FN,TH_CHOKE2300X1300X2450-4PINS_DS,PULSE,12.3UH,44A",L1_DC0,Pref,1,P83FN,12.3uH common mode choke,C201419A-120YHF,PULSE,P83FN,
"CHOKE_C301418A_112NHF_TH-C301418A-112NHF,HV1TY,TH_CHOKE3850X3500X2400-4PINS_DS,ITG ELECTRONICS,1.1MH,22A","L4_DC0, L5_DC0",Pref,2,HV1TY,1 mH Common mode choke,C301418A-112NHF,ITG ELECTRONICS,HV1TY,
"CHOKE_M_521CT_SMT-M-521CT,0HKMX,SMT_CHOKE254P550X5000X420_4PINS_DS,KEMET,700UH,1A","L3_DC0, L6_DC0",Pref,2,0HKMX,CMC 700UH 1A 2LN 700 OHM SMD,M-521CT,KEMET,0HKMX,
"CSD87502Q2_SON-CSD87502Q2,4275V,SON65P200X200X080-8_DS,TI",U16_DC0,Pref,1,4275V,30 V Dual N-Channel MOSFETs,CSD87502Q2,TI,4275V,
"DIODE_2PINS_PHOENIX_SMA_ZENER-MNYPD,DDZ9689-7",D14_DC0,Pref,1,MNYPD,?,DDZ9689-7,?,MNYPD,
"DIODE_2PINS_PHOENIX_SOD123_SCHOTTKY-0MV6T,RSX301LAM30TR",D3_DC0,Pref,1,0MV6T,?,RSX301LAM30TR,?,0MV6T,
"DIODE_2PINS_PHOENIX_SOD123_SCHOTTKY-GKN4M,B260S1F-7","D6_DC0, D7_DC0, D8_DC0, D9_DC0, D10_DC0, D11_DC0",Pref,6,GKN4M,?,B260S1F-7,?,GKN4M,
"DMN5L06DMK_7_DFN-DMN5L06DMK-7,4FY21,SOT95P285X140-6N,DIODES INC.","Q1_DC0, Q2_DC0, Q3_DC0",Pref,3,4FY21,DUAL N-CHANNEL MOSFET,DMN5L06DMK-7,DIODES INC.,4FY21,
"FUSE_PHOENIX_SMT-0J14X,30A,250V,0463030.ER",F2_DC0,Pref,1,0J14X,?,0463030.ER,?,0J14X,
"GDT_2035_SMT-2035-09-SM,VKTP1,SMT_GDT2035_400P500X500X460-2_DS,BOURNS",GDT1_DC0,Pref,1,VKTP1,GDT 90V SMT,2035-09-SM,BOURNS,VKTP1,
"INDUCTOR_PHOENIX_SMT-844R2,470NH,20%,VLS201610CX-R47M-1",L2_DC0,Pref,1,844R2,?,VLS201610CX-R47M-1,?,844R2,
"INDUCTOR_SMT-6F2XV,10UH,20%",L7_DC0,Pref,1,6F2XV,?,?,?,6F2XV,
