TITLE: Bill of Materials
DATE: 12/13/2021
DESIGN: 4t4r_dcdc_primary_cutout_yfk37
TEMPLATE: c:/cadence/spb_17.4/share/cdssetup/template.bom
CALLOUT: bom.callouts

Part Name,Ref Des,Qty,Unit Price,Cost
"10137559-102LF_CONN-10137559-102LF,2G34J,CONN6_PWR_2X1_RA,AMPHENOL","U1,U11_DC0",2,?,?
"15912200_CONN-15912200,8VCV7,SMT_HDR_2X10_VERT_MOLEX_15912200,MOLEX",J1,1,?,?
"74LCX138_DFN-74LCX138BQX,YX5P1,QFN50P350X250X80-17_DS,ONSEMI",U3_DC0,1,?,?
"74LVC1G04_SOT-74LVC1G04SE-7,MD81W,SOT65P210X110-5_DS,DIODES",U7_DC0,1,?,?
"BAV70WT1G_SOT-BAV70WT1G,8NYFF,SOT65P220X100-3_DS,ONSEMI",D1_DC0,1,?,?
"BMR685_TH-BMR685,90F4M,TH_DCDC_CONV_16PINS_5790X6100X1290,FLEX",PS1_DC0,1,?,?
"BZX84_SOT-BZX84-A39,215,V0F3T,SOT95P230X110-3_DS,NEXPERIA",D5_DC0,1,?,?
"CAP_0402-0.1UF,10%,50V,X7R,02DD2","C14_DC0,C52_DC0,C53_DC0,C54_DC0",4,?,?
"CAP_1210-4.7UF,10%,100V,X7R,N4W6P","C1_DC0,C2_DC0,C3_DC0,C4_DC0,C5_DC0,C6_DC0,C7_DC0,C8_DC0,C9_DC0,C10_DC0,C15_DC0,C16_DC0,C21_DC0,C22_DC0,C27_DC0,C28_DC0,C29_DC0,C30_DC0,C35_DC0,C36_DC0,C37_DC0,C38_DC0,C39_DC0,C40_DC0,C41_DC0,C42_DC0",26,?,?
"CAP_PHOENIX_0201-0.1UF,10%,16V,X6S,0WNYT,GRM033C81C104KE14","C11_DC0,C12_DC0",2,?,?
"CAP_PHOENIX_0201-0.22UF,10%,6.3V,X6S,61WM2,C0603X6S0J224K030BC",C51_DC0,1,?,?
"CAP_PHOENIX_0201-1UF,20%,10V,X6S,GH1G1,GRM033C81A105ME05D",C56_DC0,1,?,?
