Part Name,Ref Des,Var Status,Qty,PART_NUMBER,DESCRIPTION,MFG_PN,MANUFACTURER,PRT_NUMBER
"10133694_101LF_TH-10133694-101LF,D1WF2,TH_SFP_SHLD_CAGE_AMPHENOL-10133694,AMPHENOL","P1_S0_DIG0, P1_S1_DIG0",Pref,2,D1WF2,SFP SHIELDING CAGE - PIN-IN-PASTE,10133694-101LF,AMPHENOL,D1WF2
"1703820002_CONN-1703820002,470N6,MOLEX,SMT_CONN_SFP_2X10_1100X787X535","J1_S0_DIG0, J1_S1_DIG0",Pref,2,470N6,CON SFP28 20POS SMD,1703820002,MOLEX,470N6
"2036_15_SM_RPLF_SMT-2036-15-SM-RPLF,VPW9J,SMT_GDT_730X500X500-3_DS,BOURNS",GDT1_DIG0,Pref,1,VPW9J,"GDT, 3-electrode, 150V",2036-15-SM-RPLF,BOURNS,VPW9J
"430450420_SMT-43045-0420,WP0M8,SMT_HDR_UFIT_VERT_2X2_965X737X1016,MOLEX",J1_DIG0,Pref,1,WP0M8,Micro Fit 3.0 vertical SMT dual row header,43045-0420,MOLEX,WP0M8
"5054484031_SMT-5054484031,C4PT9,SMT_PLUG_ULOCK_2XROW_2X20_125P_RA,MOLEX","P1_DIG0,P2_M0",Pref,2,C4PT9,"40 Circuits 1.25mm Pitch, Micro-Lock Plus PCB Header, Dual Row, Positive Lock",5054484031,MOLEX,C4PT9
"553S_DFN-553SCMGI8,259CM,SON50P200X200X55-8_DS,RENESAS","U2_DIG0, U7_CG",Pref,2,259CM,CLK-BUFF 4XOUT W/OE 1.8-3.3V DFN-8,553SCMGI8,RENESAS,259CM
"7N19471003_QFN-7N19471003,4HH2T,OSCCAV127X254P700X500X200-10_DS,TXC",U2_CG,Pref,1,4HH2T,"19.44MHZ TCXO, 3.3V,-40 to 105 degC",7N19471003,TXC,4HH2T
"7X54070001_SMT-7X54070001,C5VP4,OSCCC320X250X110_DS,TXC,54 MHZ",U3_CG,Pref,1,C5VP4,54 MHz XO -40 to 105 degC,7X54070001,TXC,C5VP4
"8N33370002_SMT-8N33370002,H2YYJ,OSCCC200X160X81_DS,TXC",Y2_CG,Pref,1,H2YYJ,33.33MHz 1.8V XO SMD,8N33370002,TXC,H2YYJ
"ADP150_SOT-ADP150AUJZ-3.3-R7,0KK6W,SOT95P280X100-5N,ANALOG DEVICES",U6_CG,Pref,1,0KK6W,"3.3V Output, 150mA LDO, Input Range- 2.2V - 5.5V, TSOT",ADP150AUJZ-3.3-R7,ANALOG DEVICES,0KK6W
"BC849B_SOT23-BC849B,72PJD,SOT95P237X112-3N,NEXPERIA","Q1_DIG0, Q2_DIG0, Q3_DIG0, Q4_DIG0, Q5_DIG0,Q139_M0,Q140_M0",Pref,7,72PJD,TRANS SGNL NPN 45V SOT23,BC849B,NEXPERIA,72PJD
"CAP_0201-100NF,10%,25V,X6S,9PY76","C1_DIG0, C2_DIG0",Pref,2,9PY76,?,?,?,9PY76
"CAP_0201-100PF,10%,50V,X7R,77RWH","C102_DC1, C113_DC1",Pref,2,77RWH,?,?,?,77RWH
"CAP_0201-10NF,10%,25V,X7R,VDGK5","C26_F1_DIG0, C27_F1_DIG0, C28_F1_DIG0, C29_F1_DIG0, C30_F1_DIG0, C31_F1_DIG0, C32_F1_DIG0, C33_F1_DIG0, C34_F1_DIG0, C35_F1_DIG0, C36_F1_DIG0, C37_F1_DIG0, C38_F1_DIG0, C39_F1_DIG0, C40_F1_DIG0, C41_F1_DIG0, C87_F0_DIG0, C87_F1_DIG0, C89_F0_DIG0, C89_F1_DIG0, C92_F0_DIG0, C92_F1_DIG0, C94_F0_DIG0, C94_F1_DIG0, C185_F0_DIG0, C186_F0_DIG0, C229_F0_DIG0, C230_F0_DIG0, C231_F0_DIG0, C232_F0_DIG0, C233_F0_DIG0, C234_F0_DIG0",Pref,32,VDGK5,?,?,?,VDGK5
"CAP_0201-2200PF,10%,16V,X7R,K1JR5",C114_DC1,Pref,1,K1JR5,?,?,?,K1JR5
"CAP_0402-0.1UF,10%,50V,X7R,02DD2","C1_S0_DIG0, C1_S1_DIG0, C2_S0_DIG0, C2_S1_DIG0, C3_CG, C3_DIG0, C4_CG, C4_F1_DIG0, C5_F1_DIG0, C5_S0_DIG0, C5_S1_DIG0, C6_F1_DIG0, C6_S0_DIG0, C6_S1_DIG0, C7_CG-C25_CG, C7_F1_DIG0, C7_S0_DIG0, C7_S1_DIG0, C8_DIG0, C8_F1_DIG0, C9_DIG0, C9_F1_DIG0, C10_DIG0, C10_F1_DIG0, C11_F0_DIG0, C11_F1_DIG0, C12_DC1, C12_DIG0, C12_F0_DIG0, C13_DIG0, C13_F0_DIG0, C14_DIG0, C14_F0_DIG0, C14_F1_DIG0, C15_DIG0, C15_F0_DIG0, C15_F1_DIG0, C16_F0_DIG0, C16_F1_DIG0, C17_F0_DIG0, C17_F1_DIG0, C18_F0_DIG0, C18_F1_DIG0, C19_F0_DIG0, C19_F1_DIG0, C20_F0_DIG0, C20_F1_DIG0, C21_F0_DIG0, C21_F1_DIG0, C22_F0_DIG0, C22_F1_DIG0, C23_F0_DIG0, C23_F1_DIG0, C24_F0_DIG0, C24_F1_DIG0, C25_F0_DIG0, C25_F1_DIG0, C26_F0_DIG0, C27_F0_DIG0, C28_F0_DIG0, C29_F0_DIG0, C30_F0_DIG0, C31_F0_DIG0, C32_F0_DIG0, C33_F0_DIG0, C34_F0_DIG0, C35_F0_DIG0, C36_F0_DIG0, C37_F0_DIG0, C38_F0_DIG0, C39_F0_DIG0, C40_F0_DIG0, C41_F0_DIG0, C42_F0_DIG0, C43_F0_DIG0, C46_F0_DIG0, C48_F0_DIG0, C49_F0_DIG0, C50_F0_DIG0, C76_DC1, C100_F0_DIG0, C104_DC1, C108_F0_DIG0, C109_F0_DIG0, C368_F0_DIG0, C369_F0_DIG0, C370_F0_DIG0, C371_F0_DIG0, C372_F0_DIG0, C373_F0_DIG0, C374_F0_DIG0,C1_M0,C2_M0,C5_M0,C6_M0,C20_M0,C24_M0,C26_M0,C27_M0,C30_M0,C31_M0,C32_M0,C33_M0,C40_M0,C41_M0,C89_M0,C111_M0,C113_M0,C127_M0,C128_M0,C131_M0,C144_M0,C145_M0,C146_M0,C147_M0",Pref,115,02DD2,?,?,?,02DD2
"CAP_0402-0.22UF,10%,25V,X7R,GH28P","C67_DC1, C68_DC1",Pref,2,GH28P,?,?,?,GH28P
"CAP_0402-1000PF,10%,25V,X7R,M5273",C101_DC1,Pref,1,M5273,?,?,?,M5273
"CAP_0402-100NF,10%,16V,X7R,XNJK2","C2_F1_DIG0, C62_F0_DIG0, C63_F0_DIG0, C64_F0_DIG0, C69_F0_DIG0, C91_F0_DIG0, C104_F0_DIG0, C182_F0_DIG0, C183_F0_DIG0, C184_F0_DIG0, C235_F0_DIG0, C236_F0_DIG0, C237_F0_DIG0, C238_F0_DIG0, C239_F0_DIG0, C240_F0_DIG0, C241_F0_DIG0, C242_F0_DIG0",Pref,18,XNJK2,?,?,?,XNJK2
"CAP_0402-10UF,20%,6.3V,X5R,0XKHX","C152_F0_DIG0, C153_F0_DIG0, C154_F0_DIG0, C304_F0_DIG0",Pref,4,0XKHX,?,?,?,0XKHX
"CAP_0402-1UF,10%,25V,X6S,H1KK1","C4_DC1, C15_DC1, C16_DC1, C23_DC1, C24_DC1, C33_DC1, C56_DC1, C60_F1_DIG0, C61_F1_DIG0, C86_DC1, C109_DC1, C168_F1_DIG0, C169_F1_DIG0, C170_F1_DIG0, C171_F1_DIG0, C172_F1_DIG0, C173_F1_DIG0, C174_F1_DIG0, C175_F1_DIG0, C176_F1_DIG0, C177_F1_DIG0, C178_F1_DIG0, C179_F1_DIG0, C180_F1_DIG0, C181_F1_DIG0, C255_F1_DIG0, C256_F1_DIG0, C257_F1_DIG0, C258_F1_DIG0, C259_F1_DIG0, C260_F1_DIG0, C261_F1_DIG0, C262_F1_DIG0, C263_F1_DIG0",Pref,34,H1KK1,?,?,?,H1KK1
"CAP_0402-33NF,10%,50V,X7R,K83P4","C42_DC1, C48_DC1, C60_DC1, C80_DC1",Pref,4,K83P4,?,?,?,K83P4
"CAP_0603-1UF,10%,50V,X7R,3PV59","C44_DC1, C83_DC1",Pref,2,3PV59,?,?,?,3PV59
"CAP_0805-10UF,20%,25V,X6S,D19DC","C38_DC1, C39_DC1, C40_DC1",Pref,3,D19DC,?,?,?,D19DC
"CAP_0805-22UF,20%,25V,X5R,FRX52","C3_S0_DIG0, C3_S1_DIG0, C4_S0_DIG0, C4_S1_DIG0, C8_S0_DIG0, C8_S1_DIG0",Pref,6,FRX52,?,?,?,FRX52
"CAP_0805-4.7UF,10%,50V,X6S,5HP01","C20_DC1, C78_DC1",Pref,2,5HP01,?,?,?,5HP01
"CAP_1206-100UF,20%,4V,X6S,YFN6X","C27_DC1, C43_DC1, C79_DC1, C82_DC1",Pref,4,YFN6X,?,?,?,YFN6X
"CAP_PHOENIX_0201-0.1UF,10%,16V,X6S,0WNYT,GRM033C81C104KE14","C12_F1_DIG0, C13_F1_DIG0, C42_F1_DIG0, C43_F1_DIG0, C44_F1_DIG0, C45_F1_DIG0, C46_F1_DIG0, C47_F1_DIG0, C48_F1_DIG0, C49_F1_DIG0, C50_F1_DIG0, C51_F1_DIG0, C52_F1_DIG0, C53_F1_DIG0, C54_F1_DIG0, C55_F1_DIG0, C56_F1_DIG0, C57_F1_DIG0, C58_F1_DIG0, C59_F1_DIG0, C62_F1_DIG0, C63_F1_DIG0, C65_F0_DIG0, C65_F1_DIG0, C66_F0_DIG0, C67_F0_DIG0, C67_F1_DIG0, C68_F0_DIG0, C84_F0_DIG0, C86_F0_DIG0, C88_F0_DIG0, C90_F0_DIG0, C93_F0_DIG0, C95_F0_DIG0, C96_F0_DIG0, C97_F0_DIG0, C98_F0_DIG0, C102_F0_DIG0, C103_F0_DIG0, C106_F0_DIG0, C107_F0_DIG0, C110_F0_DIG0, C111_F0_DIG0, C112_F0_DIG0, C113_F0_DIG0, C114_F0_DIG0, C115_F0_DIG0, C116_F0_DIG0, C117_F0_DIG0, C118_F0_DIG0, C119_F0_DIG0, C120_F0_DIG0, C123_F0_DIG0",Pref,53,0WNYT,?,GRM033C81C104KE14,?,0WNYT
"CAP_PHOENIX_0201-15PF,1%,50V,C0G,3R6D6,GRM0335C1H150FA01","C26_CG, C27_CG",Pref,2,3R6D6,?,GRM0335C1H150FA01,?,3R6D6
